id,Car,Heavy_Vehicles,Motorcycle,Other,Pedalcycle
346071,0,1,0,0,0
346072,1,0,0,0,1
346073,1,0,0,0,0
346074,2,0,0,0,0
346075,0,0,0,0,1
346076,2,0,0,0,0
346077,1,0,0,0,0
346078,0,0,0,1,0
346079,1,0,0,0,0
346080,1,0,1,0,0
346081,1,0,1,0,0
346082,1,0,0,0,0
346083,0,0,1,0,0
346084,0,0,2,0,0
346085,1,0,1,0,0
346086,1,0,0,0,1
346087,2,0,0,0,0
346088,1,0,1,0,0
346089,1,0,1,0,0
346090,2,0,0,0,0
346091,3,0,0,0,0
346092,1,0,1,0,0
346093,1,0,0,0,1
346094,1,0,0,1,0
346095,2,0,0,0,0
346096,2,0,0,0,0
346097,3,0,0,0,0
346098,1,0,0,0,0
346099,1,1,0,0,0
346100,2,0,0,0,0
346101,1,0,0,0,1
346102,1,0,0,0,0
346103,1,0,0,0,1
346104,1,0,1,0,0
346105,1,0,0,0,0
346106,1,0,0,0,0
346107,0,1,0,0,1
346108,1,0,0,0,1
346109,1,0,1,0,0
346110,1,0,1,0,0
346111,1,0,1,0,0
346112,0,1,0,0,0
346113,2,0,0,0,0
346114,1,0,1,0,0
346115,1,0,0,0,0
346116,1,1,0,0,0
346117,1,0,1,0,0
346118,1,0,0,0,0
346119,1,0,0,0,0
346120,2,0,0,0,0
346121,1,0,0,0,0
346122,1,0,0,0,0
346123,1,0,0,0,0
346124,2,0,0,0,0
346125,1,1,0,0,0
346126,0,1,0,0,0
346127,1,0,0,0,1
346128,1,0,0,0,0
346129,2,0,0,0,1
346130,1,0,0,0,1
346131,1,0,1,0,0
346132,2,0,1,0,0
346133,1,0,0,0,1
346134,2,0,0,0,0
346135,1,0,0,1,0
346136,2,0,0,0,0
346137,2,0,0,0,0
346138,1,0,0,0,0
346139,0,1,0,0,0
346140,1,0,0,0,1
346141,0,1,0,0,0
346142,1,0,0,0,0
346143,0,0,0,1,0
346144,4,0,0,0,0
346145,1,0,0,0,0
346146,1,0,1,0,0
346147,1,1,0,0,0
346148,2,0,0,0,0
346149,1,0,0,0,1
346150,1,0,1,0,0
346151,1,0,0,0,1
346152,1,0,1,0,0
346153,1,0,0,0,0
346154,1,1,0,0,0
346155,2,0,0,0,0
346156,2,0,0,0,0
346157,4,0,0,0,0
346158,1,0,0,0,1
346159,0,0,1,0,1
346160,1,0,0,0,0
346161,2,0,0,0,0
346162,1,0,0,0,1
346163,1,1,0,0,0
346164,1,0,0,0,1
346165,0,0,2,0,0
346166,0,0,0,0,1
346167,0,0,1,0,0
346168,0,0,0,0,1
346169,2,0,0,0,0
346170,3,0,0,0,0
346171,2,0,1,0,0
346172,0,0,0,0,1
346173,1,0,0,0,0
346174,3,0,0,0,0
346175,1,0,1,0,0
346176,0,0,0,0,1
346177,0,1,0,0,0
346178,1,0,0,0,0
346179,0,0,1,0,0
346180,4,0,0,0,0
346181,2,0,0,0,0
346182,0,0,1,0,0
346183,1,0,0,0,0
346184,1,0,0,0,0
346185,1,0,0,0,0
346186,2,0,0,0,0
346187,2,0,0,0,0
346188,1,0,1,0,0
346189,1,0,0,0,1
346190,1,0,1,0,0
346191,3,0,0,0,0
346192,1,0,1,0,0
346193,1,0,0,0,0
346194,1,0,0,0,1
346195,1,0,0,0,0
346196,1,0,1,0,0
346197,2,0,0,0,0
346198,2,0,0,0,0
346199,1,0,0,0,1
346200,1,1,0,0,0
346201,2,0,0,0,0
346202,1,0,1,0,0
346203,2,0,0,0,0
346204,1,0,0,0,0
346205,1,0,0,0,0
346206,2,0,0,0,0
346207,0,1,0,0,0
346208,0,0,1,0,0
346209,1,0,1,0,0
346210,2,0,0,0,0
346211,1,0,1,0,0
346212,2,0,0,0,0
346213,2,0,0,0,0
346214,1,0,1,0,0
346215,1,0,0,0,1
346216,1,0,0,0,1
346217,1,0,0,0,1
346218,1,0,0,0,0
346219,2,0,0,0,0
346220,2,0,0,0,0
346221,1,0,0,0,1
346222,1,0,0,0,1
346223,1,0,1,0,0
346224,0,0,1,0,0
346225,0,1,0,0,0
346226,2,0,0,0,0
346227,1,0,0,0,1
346228,1,0,1,0,0
346229,0,0,0,0,2
346230,2,0,0,0,0
346231,2,0,0,0,0
346232,2,0,0,0,0
346233,1,0,0,0,0
346234,2,0,0,0,0
346235,1,0,0,0,0
346236,2,0,0,0,0
346237,1,0,1,0,0
346238,0,0,0,1,1
346239,2,0,0,0,0
346240,1,0,0,0,0
346241,3,0,0,0,0
346242,0,0,1,0,1
346243,0,0,0,0,1
346244,0,1,0,0,1
346245,1,0,0,0,0
346246,1,0,0,1,0
346247,1,0,1,0,0
346248,1,0,0,0,0
346249,1,0,0,0,0
346250,0,0,1,0,0
346251,1,0,0,0,0
346252,0,1,0,0,0
346253,0,1,0,0,0
346254,2,0,0,0,0
346255,0,1,0,0,0
346256,2,0,0,0,0
346257,0,1,0,0,0
346258,2,0,0,0,0
346259,1,0,1,0,0
346260,1,0,0,0,1
346261,1,0,1,0,0
346262,2,0,0,0,0
346263,1,0,0,0,1
346264,1,0,0,0,0
346265,4,0,0,0,0
346266,2,0,0,0,0
346267,1,0,0,0,0
346268,1,0,0,0,0
346269,1,0,1,0,0
346270,2,0,0,0,0
346271,2,0,0,0,0
346272,2,0,0,0,0
346273,1,0,0,0,0
346274,1,0,0,0,0
346275,1,0,0,0,1
346276,1,0,0,0,0
346277,1,0,1,0,0
346278,1,0,0,0,1
346279,2,0,0,0,0
346280,1,0,0,0,0
346281,1,0,0,0,0
346282,2,0,0,0,0
346283,1,0,1,0,0
346284,1,0,1,0,0
346285,2,0,0,0,1
346286,0,0,0,0,2
346287,0,1,0,0,0
346288,2,0,0,0,0
346289,2,0,0,0,0
346290,1,0,1,0,0
346291,3,0,0,0,0
346292,0,0,1,0,0
346293,1,0,0,0,0
346294,1,0,1,0,0
346295,2,0,0,0,0
346296,1,0,0,0,0
346297,1,0,1,0,0
346298,1,0,0,0,0
346299,1,0,0,0,0
346300,1,0,0,0,0
346301,1,0,0,1,0
346302,2,0,0,0,0
346303,1,0,0,0,1
346304,2,0,0,0,0
346305,1,0,0,0,0
346306,1,0,1,0,0
346307,2,0,0,0,0
346308,2,0,0,0,0
346309,1,0,0,0,1
346310,2,0,0,0,0
346311,1,0,0,0,1
346312,1,0,0,0,0
346313,0,1,0,0,0
346314,1,0,1,0,0
346315,1,0,0,0,0
346316,1,0,1,0,0
346317,1,0,1,0,0
346318,1,0,0,0,0
346319,1,0,0,0,0
346320,1,0,0,0,1
346321,1,0,0,0,0
346322,2,0,0,0,0
346323,0,0,0,0,1
346324,0,0,0,1,0
346325,3,0,0,0,0
346326,2,0,0,0,0
346327,1,0,0,0,0
346328,2,0,0,0,0
346329,3,0,0,0,0
346330,2,0,0,0,0
346331,0,0,1,0,0
346332,1,0,1,0,0
346333,1,0,0,0,0
346334,1,0,0,0,1
346335,2,0,0,0,0
346336,2,0,0,0,0
346337,2,0,0,0,0
346338,1,0,0,0,0
346339,1,0,1,0,0
346340,2,0,0,0,0
346341,2,0,0,0,0
346342,1,0,0,0,0
346343,1,1,0,0,0
346344,2,0,0,0,0
346345,1,0,0,0,1
346346,0,0,1,0,0
346347,1,0,0,0,0
346348,0,1,0,0,0
346349,1,0,1,0,0
346350,0,1,0,0,0
346351,2,0,0,0,0
346352,1,1,0,0,0
346353,1,0,1,0,0
346354,2,0,0,0,0
346355,1,0,1,0,0
346356,3,0,0,0,0
346357,0,0,1,0,0
346358,7,0,0,0,0
346359,1,0,1,0,0
346360,1,0,0,0,0
346361,1,1,0,0,0
346362,2,0,0,0,0
346363,1,0,0,0,0
346364,1,0,0,0,1
346365,1,0,1,0,0
346366,3,0,0,0,0
346367,1,0,0,0,0
346368,0,1,0,0,0
346369,0,1,0,0,0
346370,1,0,0,0,0
346371,1,0,0,0,0
346372,0,1,0,0,0
346373,2,0,0,0,0
346374,1,0,0,0,1
346375,1,0,0,0,0
346376,1,1,0,0,0
346377,2,0,0,0,0
346378,1,0,0,0,0
346379,1,0,0,0,1
346380,1,0,0,0,0
346381,1,0,0,0,0
346382,1,0,0,0,1
346383,1,0,0,0,0
346384,1,0,1,0,0
346385,1,0,0,0,0
346386,2,0,0,0,0
346387,1,0,0,0,0
346388,0,0,1,0,0
346389,0,1,0,0,0
346390,0,0,1,1,0
346391,1,0,0,0,0
346392,2,0,0,0,0
346393,1,0,0,0,1
346394,1,0,0,0,0
346395,1,0,0,0,0
346396,1,0,0,0,0
346397,2,0,0,0,0
346398,1,0,0,0,0
346399,1,0,0,0,1
346400,2,0,0,0,0
346401,1,0,0,0,1
346402,1,0,0,0,1
346403,1,0,0,0,1
346404,0,0,1,0,0
346405,2,0,0,0,0
346406,2,0,0,0,0
346407,1,0,0,0,1
346408,1,0,1,0,0
346409,1,0,0,0,0
346410,1,0,0,0,1
346411,1,0,0,0,1
346412,1,0,0,0,0
346413,1,1,0,0,0
346414,1,0,1,0,0
346415,2,0,0,0,0
346416,1,0,1,0,0
346417,2,0,0,0,0
346418,1,0,0,0,0
346419,2,0,0,0,0
346420,2,0,0,0,0
346421,2,0,0,0,0
346422,1,0,0,0,0
346423,1,0,0,0,0
346424,4,0,0,0,0
346425,1,0,1,0,0
346426,1,0,1,0,0
346427,1,0,0,0,0
346428,2,0,0,0,0
346429,1,0,0,0,0
346430,1,0,0,0,0
346431,1,0,0,0,1
346432,1,0,1,0,0
346433,1,0,1,0,0
346434,0,1,0,0,0
346435,1,0,1,0,0
346436,1,0,1,0,0
346437,1,0,1,0,0
346438,3,0,0,0,0
346439,0,0,1,0,0
346440,2,0,0,0,0
346441,2,0,0,0,0
346442,2,0,0,0,0
346443,1,0,0,0,0
346444,2,0,0,0,0
346445,2,0,0,0,0
346446,1,1,0,0,0
346447,0,0,1,0,1
346448,0,1,0,0,0
346449,0,0,1,0,1
346450,1,0,0,0,0
346451,0,0,0,0,1
346452,1,0,1,0,0
346453,0,1,0,0,0
346454,1,1,0,0,0
346455,1,0,1,0,0
346456,1,0,0,0,1
346457,0,0,1,0,0
346458,2,0,0,0,0
346459,1,1,0,0,0
346460,2,0,0,0,0
346461,1,0,0,0,1
346462,2,0,0,0,0
346463,2,0,0,0,0
346464,0,1,0,0,0
346465,0,1,0,0,0
346466,2,0,0,0,0
346467,2,0,0,0,0
346468,0,0,0,1,1
346469,0,0,0,1,0
346470,2,0,0,0,0
346471,0,0,1,0,0
346472,0,1,0,0,0
346473,4,0,0,0,0
346474,2,0,0,0,0
346475,1,0,1,0,0
346476,2,0,0,0,0
346477,1,0,1,0,0
346478,1,0,0,0,0
346479,1,0,0,0,0
346480,1,0,0,0,1
346481,2,0,0,0,0
346482,3,0,0,0,0
346483,1,0,1,0,0
346484,0,1,1,0,0
346485,1,0,0,0,1
346486,1,0,0,1,0
346487,1,0,0,0,0
346488,2,0,0,0,0
346489,2,0,0,0,0
346490,0,0,1,0,0
346491,1,0,0,0,0
346492,1,0,1,0,0
346493,1,0,0,0,0
346494,0,0,1,0,1
346495,1,0,0,0,0
346496,0,1,0,0,0
346497,1,0,0,0,0
346498,1,0,1,0,0
346499,0,1,0,0,1
346500,0,1,0,0,0
346501,1,0,1,0,0
346502,1,0,0,1,0
346503,1,0,0,0,0
346504,0,0,1,0,0
346505,3,0,0,0,0
346506,1,0,0,0,0
346507,1,0,0,0,0
346508,1,0,0,0,1
346509,2,0,0,0,0
346510,1,1,0,0,0
346511,1,0,1,0,0
346512,1,0,0,0,1
346513,3,0,0,0,0
346514,1,0,0,0,0
346515,1,0,0,0,1
346516,1,0,1,0,0
346517,2,0,0,0,0
346518,1,0,0,0,0
346519,2,0,0,0,0
346520,1,0,1,0,0
346521,2,0,0,0,0
346522,1,0,0,0,1
346523,2,0,0,0,0
346524,2,0,0,0,0
346525,0,0,1,0,1
346526,1,0,0,0,0
346527,1,0,0,0,1
346528,1,0,0,0,0
346529,3,0,0,0,0
346530,0,0,1,0,0
346531,4,0,0,0,0
346532,1,0,0,0,0
346533,2,0,0,0,0
346534,1,0,0,0,0
346535,0,0,0,0,1
346536,1,0,1,0,0
346537,0,0,1,0,1
346538,1,0,0,0,1
346539,1,0,1,0,0
346540,1,0,1,0,0
346541,1,0,0,0,0
346542,1,0,1,0,0
346543,1,0,0,0,1
346544,0,1,0,0,1
346545,1,0,0,0,1
346546,2,0,0,0,0
346547,0,0,1,0,0
346548,0,1,0,0,0
346549,0,1,0,0,0
346550,1,0,0,0,0
346551,1,0,0,0,0
346552,1,1,0,0,0
346553,1,0,1,0,0
346554,1,0,0,0,1
346555,1,0,1,0,0
346556,3,0,0,0,0
346557,0,1,0,0,0
346558,2,0,0,0,0
346559,1,0,0,0,0
346560,1,0,1,0,0
346561,2,0,0,0,0
346562,2,0,0,0,0
346563,0,1,0,0,0
346564,1,0,0,0,0
346565,2,0,0,0,0
346566,2,0,0,0,0
346567,2,0,0,0,0
346568,1,0,1,0,0
346569,2,0,0,0,0
346570,2,0,0,0,0
346571,1,0,0,0,1
346572,1,0,0,0,0
