id,time_of_day
350824,Midday
350825,Evening
350826,Night
350827,Night
350828,Night
350829,Night
350830,Afternoon
350831,Evening
350832,Evening
350833,Night
350834,Midday
350835,Early Morning
350836,Early Morning
350837,Afternoon
350838,Early Morning
350839,Early Morning
350840,Early Morning
350841,Night
350842,Early Morning
350843,Early Morning
350844,Early Morning
350845,Early Morning
350846,Early Morning
350847,Early Morning
350848,Night
350849,Early Morning
350850,Early Morning
350851,Early Morning
350852,Midday
350853,Morning
350854,Midday
355412,Midday
355413,Morning
355414,Midday
355415,Midday
355416,Midday
355417,Midday
355418,Midday
355419,Midday
355420,Afternoon
355421,Midday
355422,Midday
355423,Midday
355424,Midday
355425,Midday
355426,Midday
355427,Afternoon
355428,Afternoon
355429,Afternoon
355430,Evening
355431,Midday
355432,Midday
355433,Evening
355434,Midday
355435,Evening
355436,Midday
355437,Midday
355438,Night
355439,Night
355440,Night
355441,Night
355442,Evening
355443,Midday
355444,Midday
355445,Night
355446,Night
355447,Night
355448,Afternoon
355449,Early Morning
355450,Night
355451,Early Morning
355452,Early Morning
355453,Early Morning
355454,Early Morning
355455,Early Morning
355456,Early Morning
355457,Early Morning
355458,Midday
355459,Early Morning
355460,Morning
355461,Afternoon
355462,Night
355463,Morning
355464,Early Morning
355465,Early Morning
355466,Midday
355467,Midday
357786,Midday
357787,Midday
357788,Midday
357789,Midday
357790,Midday
357791,Midday
357792,Morning
357793,Afternoon
357794,Afternoon
357795,Evening
357796,Afternoon
357797,Evening
357798,Afternoon
357799,Midday
357800,Afternoon
357801,Afternoon
357802,Midday
357803,Evening
357804,Midday
357805,Evening
357806,Night
357807,Evening
357808,Midday
357809,Afternoon
357810,Midday
357811,Night
357812,Evening
357813,Evening
357814,Evening
357815,Afternoon
357816,Early Morning
357817,Afternoon
357818,Evening
357819,Midday
357820,Midday
357821,Evening
357822,Night
357823,Morning
357824,Early Morning
357825,Morning
357826,Afternoon
357827,Evening
357828,Morning
357829,Morning
357830,Early Morning
357831,Early Morning
357832,Early Morning
357833,Morning
357834,Morning
357835,Early Morning
357836,Afternoon
357837,Evening
357838,Night
357839,Early Morning
357840,Early Morning
357841,Afternoon
357842,Evening
348478,Evening
348479,Afternoon
348480,Night
348481,Night
348482,Early Morning
348483,Midday
348484,Evening
348485,Afternoon
348486,Afternoon
348487,Morning
348488,Early Morning
348489,Early Morning
348490,Early Morning
348491,Morning
348492,Night
348493,Morning
348494,Early Morning
348495,Morning
348496,Morning
348497,Early Morning
348498,Early Morning
348499,Early Morning
348500,Morning
348501,Night
348502,Midday
348503,Morning
348504,Morning
348505,Afternoon
348506,Midday
348507,Midday
348508,Morning
348509,Early Morning
348510,Midday
348511,Early Morning
348512,Early Morning
348513,Early Morning
348514,Midday
348515,Morning
348516,Midday
348517,Midday
348518,Midday
348519,Midday
348520,Evening
348521,Midday
348522,Night
348523,Early Morning
348524,Morning
348525,Morning
348526,Midday
348527,Night
348528,Midday
348529,Afternoon
348530,Afternoon
348531,Midday
348532,Morning
348533,Early Morning
348534,Evening
353171,Evening
353172,Early Morning
353173,Midday
353174,Early Morning
353175,Midday
353176,Morning
353177,Afternoon
353178,Morning
353179,Midday
353180,Early Morning
353181,Midday
353182,Midday
353183,Midday
353184,Midday
353185,Midday
353186,Early Morning
353187,Afternoon
353188,Morning
353189,Afternoon
353190,Midday
