id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
348340,51.480254,-0.196264,0,0,1,0,0,2,2,0
348341,51.633489,-0.070992,0,0,1,0,0,2,2,1
348342,51.497407,-0.203597,0,0,1,0,0,2,2,1
348343,51.385365,-0.100703,1,0,1,0,0,2,2,2
348344,51.515577,0.104819,0,0,1,0,0,2,2,0
348345,51.527541,-0.023069,0,0,1,0,0,2,2,2
348346,51.588909,-0.080041,0,0,0,1,0,2,0,1
348347,51.564558,0.129849,0,0,0,1,0,2,2,0
345962,51.5018,-0.161511,0,0,1,0,0,1,4,2
345963,51.513742,-0.120099,1,0,0,1,0,1,4,2
345964,51.472018,0.022939,0,0,0,1,0,1,4,0
345965,51.52333,-0.149068,0,0,0,1,0,1,4,2
345966,51.565142,-0.134702,0,0,0,0,1,1,4,1
345967,51.38092,-0.18389,0,0,0,0,1,1,4,0
345968,51.528377,-0.181417,0,0,0,1,0,1,4,2
345969,51.539816,-0.19541,0,0,1,0,0,1,4,2
345970,51.604169,-0.336298,0,0,0,1,0,1,4,0
345971,51.383828,-0.061777,0,0,0,0,1,1,4,2
345972,51.454091,-0.14761,0,0,0,0,1,1,3,2
345973,51.640578,-0.062439,0,0,0,0,1,1,4,1
345974,51.511935,-0.120159,0,0,0,0,1,1,4,2
345975,51.494552,-0.100619,1,0,1,0,0,1,4,2
345976,51.557281,-0.006127,0,0,0,0,1,1,4,0
345977,51.46191,-0.066561,0,0,0,0,1,1,4,2
345978,51.535929,-0.246275,1,0,0,1,0,1,4,1
345979,51.570865,-0.231959,0,0,0,0,1,1,4,2
345980,51.603859,-0.18724,0,0,0,0,1,1,4,2
345981,51.512198,-0.153122,0,0,0,0,1,1,4,2
345982,51.43148,-0.016083,0,0,0,0,1,1,4,1
345983,51.473487,0.145202,0,0,0,0,1,1,4,0
345984,51.624011,-0.022909,0,1,0,0,0,1,5,0
345985,51.518173,0.056305,1,1,0,0,0,1,5,2
345986,51.532833,-0.274567,0,0,1,0,0,1,5,1
345987,51.536252,-0.391174,0,0,0,0,1,1,3,2
345988,51.461446,-0.298206,0,0,1,0,0,1,5,0
345989,51.478457,-0.144534,0,0,0,1,0,1,5,2
345990,51.478749,-0.407771,0,0,0,1,0,1,5,1
345991,51.428715,-0.323935,0,0,0,1,0,1,5,0
345992,51.514643,-0.008552,0,0,0,1,0,1,5,2
345993,51.490922,-0.228945,0,0,0,1,0,1,5,0
345994,51.598083,-0.105601,0,0,0,1,0,1,5,1
345995,51.5238,0.057496,1,0,0,1,0,1,5,2
345996,51.401604,-0.168364,0,0,0,1,0,1,5,1
345997,51.432204,-0.178088,1,0,0,1,0,1,5,2
345998,51.57724,-0.20644,0,0,0,1,0,1,5,2
345999,51.514361,-0.235199,0,0,0,0,1,1,5,0
346000,51.45976,-0.128019,1,0,0,1,0,1,5,2
346001,51.640577,-0.062396,0,0,0,0,1,1,5,1
346002,51.527033,-0.059406,0,0,0,1,0,1,3,2
346003,51.554954,0.066518,0,0,0,1,0,1,5,0
346004,51.498892,-0.054882,0,0,0,0,1,1,5,2
346005,51.532286,-0.083002,1,0,0,0,1,1,5,2
346006,51.531143,-0.202774,0,0,0,1,0,1,5,2
346007,51.458976,-0.11891,0,0,0,1,0,1,1,2
346008,51.584706,-0.106952,0,0,0,0,1,1,5,1
346009,51.531439,0.017888,0,0,0,0,1,1,5,2
346010,51.407501,-0.136897,0,0,0,1,0,1,5,1
346011,51.429707,-0.104015,0,0,1,0,0,1,5,2
346012,51.573781,-0.120986,0,0,0,0,1,1,5,1
346013,51.454698,0.178478,1,0,0,0,1,1,5,0
346014,51.453143,-0.050307,0,1,0,0,0,1,6,2
346015,51.370727,-0.100274,0,1,0,0,0,1,6,2
346016,51.469853,-0.125431,1,0,0,1,0,1,5,2
346017,51.577884,0.070127,0,0,0,1,0,1,4,0
348348,51.522115,-0.064372,1,1,0,0,0,2,3,2
348349,51.5004,-0.194719,0,0,0,0,1,2,1,1
348350,51.404369,-0.081541,0,0,0,0,1,2,1,2
348351,51.451817,-0.159101,0,0,0,0,1,1,3,2
348352,51.530551,0.039605,1,0,0,1,0,2,2,2
348353,51.513346,-0.472297,0,0,1,0,0,2,1,1
348354,51.515943,-0.142003,0,0,0,0,1,2,1,2
348355,51.523595,-0.175207,0,0,0,1,0,2,5,2
348356,51.593657,0.144738,0,0,1,0,0,2,2,0
348357,51.531498,0.055435,0,0,0,0,1,2,0,2
348358,51.550859,-0.140205,0,1,0,0,0,2,3,2
348359,51.502266,-0.38364,0,0,0,1,0,2,2,2
348360,51.392077,0.01793,0,0,1,0,0,2,2,1
348361,51.513808,-0.155983,1,1,0,0,0,2,2,2
348362,51.534622,-0.107199,0,0,0,1,0,2,2,1
348363,51.371711,0.097121,0,0,0,1,0,2,2,1
348364,51.337267,-0.118269,0,0,0,1,0,2,1,2
348365,51.623807,-0.072819,0,0,0,1,0,2,2,1
348366,51.616731,-0.085555,0,0,0,1,0,2,2,1
348367,51.518993,-0.228073,0,0,0,1,0,2,2,0
348368,51.592642,0.085799,0,0,1,0,0,2,1,0
348369,51.496699,-0.087765,1,0,0,0,1,2,0,2
348370,51.511367,-0.011044,0,0,0,1,0,2,2,2
348371,51.48859,-0.191009,0,0,1,0,0,2,3,1
348372,51.415408,-0.048102,1,0,0,1,0,2,2,1
348373,51.579447,-0.072848,0,0,0,1,0,2,1,1
348374,51.621195,0.184147,0,0,0,0,1,2,2,0
348375,51.487064,-0.179028,0,0,0,0,1,2,2,1
348376,51.389268,0.049227,0,0,0,1,0,2,3,1
348377,51.499993,-0.211549,0,0,0,0,1,2,2,1
348378,51.489138,0.071996,0,0,0,1,0,2,3,0
348379,51.404359,-0.191718,1,0,0,0,1,2,2,1
348380,51.534246,-0.116803,1,0,0,1,0,2,3,1
348381,51.489196,-0.222991,0,0,0,1,0,2,2,0
348382,51.492155,-0.047217,0,0,0,0,1,2,2,2
348383,51.61204,-0.121919,1,0,0,1,0,2,2,1
348384,51.516017,-0.475782,0,1,0,0,0,2,3,1
348385,51.487651,0.059901,0,0,0,0,1,2,2,0
348386,51.579557,-0.399575,0,0,0,1,0,2,3,1
348387,51.595665,-0.294465,0,0,0,0,1,2,2,0
348388,51.586238,-0.087198,0,0,0,0,1,2,2,1
348389,51.608979,0.210295,0,0,1,0,0,2,3,0
348390,51.4753,-0.028756,0,0,0,0,1,2,2,1
348391,51.461189,-0.243628,0,0,0,1,0,2,2,2
348392,51.537282,-0.155078,1,0,0,0,1,2,2,2
348393,51.468381,-0.014166,1,0,0,0,1,2,2,1
348394,51.499002,-0.147734,0,0,0,0,1,2,2,2
348395,51.411022,-0.161646,0,0,0,0,1,2,2,1
348396,51.41885,-0.134063,0,0,0,0,1,2,2,2
348397,51.363131,-0.098261,0,1,0,0,0,2,3,2
348398,51.526942,-0.172968,0,1,0,0,0,2,3,2
348399,51.459196,-0.211144,0,0,0,1,0,2,3,2
348400,51.473487,-0.387954,1,0,0,1,0,2,3,1
348401,51.433457,-0.256935,0,0,1,0,0,2,2,0
348402,51.587964,-0.252053,0,0,0,0,1,2,2,2
348403,51.609369,0.221045,0,0,0,1,0,2,3,0
346018,51.432872,-0.128571,0,0,1,0,0,1,6,2
346019,51.479059,-0.188736,1,0,1,0,0,1,6,0
346020,51.552237,-0.301643,0,0,1,0,0,1,6,1
346021,51.521225,0.058187,0,0,0,1,0,1,6,2
346022,51.530456,0.144736,0,0,1,0,0,1,6,0
346023,51.592273,0.181763,1,0,0,0,1,1,5,0
346024,51.526271,0.07237,1,0,0,1,0,1,5,2
346025,51.500811,0.002112,1,0,0,1,0,1,4,0
346026,51.486011,0.098646,0,0,0,1,0,1,6,0
346027,51.516379,-0.188813,0,0,0,1,0,1,6,2
346028,51.481206,-0.44958,1,0,0,1,0,1,6,1
346029,51.425797,-0.138901,0,0,0,1,0,1,6,2
346030,51.613697,-0.124306,0,0,0,0,1,1,6,1
346031,51.449997,0.029565,0,0,0,1,0,1,6,0
346032,51.515459,-0.142094,0,0,0,1,0,1,6,2
346033,51.384766,-0.189573,0,0,0,1,0,1,6,0
346034,51.633077,-0.130053,0,0,0,0,1,1,6,1
346035,51.475726,-0.036456,0,0,0,0,1,1,6,1
346036,51.52731,0.030969,0,0,0,0,1,1,5,2
346037,51.596862,-0.334616,0,0,0,1,0,1,6,0
346038,51.491873,-0.281977,0,0,0,0,1,1,6,1
346039,51.444974,-0.124508,0,1,0,0,0,1,6,2
346040,51.647199,-0.046849,0,0,0,0,1,1,6,1
346041,51.447151,-0.409159,0,0,1,0,0,1,6,1
346042,51.540612,-0.301773,0,0,1,0,0,1,0,1
346043,51.453466,-0.212145,0,0,1,0,0,1,0,2
346044,51.34111,-0.066566,0,0,1,0,0,1,0,2
