id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346070,0,0,0,1,0
346071,0,0,1,0,0
346072,0,0,1,0,0
346073,0,1,0,0,0
346074,0,0,1,0,0
346075,0,0,1,0,0
346076,1,0,0,0,0
346077,1,0,0,0,0
346078,0,0,0,1,0
346079,1,0,0,0,0
346080,0,0,0,0,1
346081,0,1,0,0,0
346082,1,0,0,2,0
346083,0,0,0,0,1
346084,1,0,1,0,0
346085,0,0,1,0,0
346086,0,0,1,0,0
346087,0,1,0,0,0
346088,1,0,0,1,0
346089,0,1,0,0,0
346090,2,0,0,0,1
346091,0,0,0,1,0
346092,0,1,0,0,0
346093,0,0,0,0,1
346094,0,0,1,0,0
346095,0,0,1,0,0
346096,0,0,0,0,0
346097,0,0,0,0,1
346098,0,0,0,1,0
346099,0,0,0,1,0
346100,0,0,1,0,0
346101,0,1,0,0,0
346102,0,0,0,0,1
346103,0,0,1,0,0
346104,1,0,0,0,0
346105,0,0,1,0,0
346106,1,0,0,0,0
346107,0,0,0,0,1
346108,0,0,0,0,1
346109,0,0,1,0,0
346110,1,0,0,0,0
346111,0,0,0,0,1
346112,0,0,0,0,1
346113,0,0,0,0,1
346114,0,0,0,1,0
346115,0,0,1,0,0
346116,1,0,0,0,0
346117,0,1,0,0,0
346118,1,0,0,0,0
346119,0,0,0,1,0
346120,0,1,0,0,0
346121,0,0,0,0,0
346122,1,0,0,0,0
346123,1,0,0,0,0
346124,0,1,0,0,0
346125,0,0,1,0,0
346126,0,0,0,1,0
346127,0,0,0,1,0
346128,1,0,0,0,0
346129,0,1,0,0,0
346130,1,0,0,0,0
346131,0,1,0,0,0
346132,0,0,0,0,1
346133,0,0,0,1,0
346134,0,1,0,0,0
346135,0,0,0,1,0
346136,0,1,1,0,1
346137,1,0,0,1,0
346138,0,0,1,0,0
346139,0,0,0,1,0
346140,0,0,1,0,0
346141,0,0,0,0,1
346142,1,0,0,0,0
346143,0,0,1,0,0
346144,0,1,1,0,0
346145,0,1,0,0,0
346146,0,0,0,1,0
346147,0,0,0,1,0
346148,0,0,1,0,0
346149,0,0,1,0,0
346150,1,0,0,0,0
346151,0,1,0,0,0
346152,0,1,0,0,0
346153,1,0,0,0,0
346154,0,0,0,1,0
346155,0,1,0,0,0
346156,0,0,0,1,0
346157,0,0,0,1,0
346158,0,1,0,0,0
346159,0,1,0,0,0
346160,0,0,0,0,1
346161,0,0,1,0,0
346162,0,1,0,0,0
346163,1,0,0,0,0
346164,0,1,0,0,0
346165,1,0,0,0,0
346166,1,0,0,0,0
346167,0,1,0,0,0
346168,0,0,0,0,0
346169,0,0,1,0,0
346170,0,0,1,0,0
346171,0,0,0,1,0
346172,0,0,1,0,0
346173,1,0,0,0,0
346174,0,1,0,0,0
346175,0,0,1,0,0
346176,0,1,0,0,1
346177,3,0,0,0,0
346178,0,0,0,1,0
346179,0,0,1,1,0
346180,3,0,1,0,0
